participant,age,female,vignette,stem,condition,medium,severity,wrt
15,21,1,4,4,bullying,offline,2,1
15,21,1,5,5,bullying,offline,4,2
15,21,1,6,6,bullying,offline,3,2
15,21,1,7,1,bullying,online,4,3
15,21,1,8,2,bullying,online,4,4
15,21,1,9,3,bullying,online,4,3
15,21,1,10,4,bullying,online,4,3
15,21,1,11,5,bullying,online,4,3
15,21,1,12,6,bullying,online,3,2
15,21,1,13,1,harassment,offline,2,1
15,21,1,14,2,harassment,offline,2,1
15,21,1,15,3,harassment,offline,5,4
15,21,1,16,4,harassment,offline,2,1
15,21,1,17,5,harassment,offline,3,1
15,21,1,18,6,harassment,offline,3,1
15,21,1,19,1,harassment,online,4,3
15,21,1,20,2,harassment,online,3,2
15,21,1,21,3,harassment,online,4,3
15,21,1,22,4,harassment,online,4,3
15,21,1,23,5,harassment,online,3,2
15,21,1,24,6,harassment,online,4,3
16,20,1,1,1,bullying,offline,4,4
16,20,1,2,2,bullying,offline,4,4
16,20,1,3,3,bullying,offline,2,2
16,20,1,4,4,bullying,offline,5,5
16,20,1,5,5,bullying,offline,4,3
16,20,1,6,6,bullying,offline,2,2
16,20,1,7,1,bullying,online,5,5
16,20,1,8,2,bullying,online,5,5
16,20,1,9,3,bullying,online,5,5
16,20,1,10,4,bullying,online,4,4
16,20,1,11,5,bullying,online,5,5
16,20,1,12,6,bullying,online,5,5
16,20,1,13,1,harassment,offline,4,4
16,20,1,14,2,harassment,offline,4,4
16,20,1,15,3,harassment,offline,4,4
16,20,1,16,4,harassment,offline,4,4
16,20,1,17,5,harassment,offline,4,4
16,20,1,18,6,harassment,offline,4,4
16,20,1,19,1,harassment,online,3,3
16,20,1,20,2,harassment,online,3,3
16,20,1,21,3,harassment,online,4,4
16,20,1,22,4,harassment,online,3,3
16,20,1,23,5,harassment,online,4,4
16,20,1,24,6,harassment,online,5,5
17,20,0,1,1,bullying,offline,4,5
17,20,0,2,2,bullying,offline,5,5
17,20,0,3,3,bullying,offline,3,3
17,20,0,4,4,bullying,offline,4,3
17,20,0,5,5,bullying,offline,5,5
17,20,0,6,6,bullying,offline,4,4
17,20,0,7,1,bullying,online,3,3
17,20,0,8,2,bullying,online,5,4
17,20,0,9,3,bullying,online,3,3
17,20,0,10,4,bullying,online,3,3
17,20,0,11,5,bullying,online,5,5
17,20,0,12,6,bullying,online,3,3
17,20,0,13,1,harassment,offline,5,5
17,20,0,14,2,harassment,offline,5,5
17,20,0,15,3,harassment,offline,5,5
17,20,0,16,4,harassment,offline,5,5
17,20,0,17,5,harassment,offline,4,4
17,20,0,18,6,harassment,offline,4,4
17,20,0,19,1,harassment,online,3,3
17,20,0,20,2,harassment,online,4,4
17,20,0,21,3,harassment,online,4,4
17,20,0,22,4,harassment,online,4,4
17,20,0,23,5,harassment,online,3,3
17,20,0,24,6,harassment,online,5,5
18,20,1,1,1,bullying,offline,3,3
18,20,1,2,2,bullying,offline,4,3
18,20,1,3,3,bullying,offline,2,1
18,20,1,4,4,bullying,offline,3,2
18,20,1,5,5,bullying,offline,4,3
18,20,1,6,6,bullying,offline,1,1
18,20,1,7,1,bullying,online,4,4
18,20,1,8,2,bullying,online,4,4
18,20,1,9,3,bullying,online,4,4
18,20,1,10,4,bullying,online,3,4
18,20,1,11,5,bullying,online,4,4
18,20,1,12,6,bullying,online,4,4
18,20,1,13,1,harassment,offline,4,3
18,20,1,14,2,harassment,offline,5,5
18,20,1,15,3,harassment,offline,5,5
18,20,1,16,4,harassment,offline,4,2
18,20,1,17,5,harassment,offline,4,3
18,20,1,18,6,harassment,offline,4,3
18,20,1,19,1,harassment,online,3,3
18,20,1,20,2,harassment,online,4,1
18,20,1,21,3,harassment,online,3,3
18,20,1,22,4,harassment,online,3,3
18,20,1,23,5,harassment,online,3,3
18,20,1,24,6,harassment,online,3,2
19,21,1,1,1,bullying,offline,4,3
19,21,1,2,2,bullying,offline,4,3
19,21,1,3,3,bullying,offline,2,1
19,21,1,4,4,bullying,offline,4,3
19,21,1,5,5,bullying,offline,3,3
19,21,1,6,6,bullying,offline,2,3
19,21,1,7,1,bullying,online,4,3
19,21,1,8,2,bullying,online,4,3
19,21,1,9,3,bullying,online,3,3
19,21,1,10,4,bullying,online,4,4
19,21,1,11,5,bullying,online,4,3
19,21,1,12,6,bullying,online,3,3
19,21,1,13,1,harassment,offline,4,2
19,21,1,14,2,harassment,offline,4,3
19,21,1,15,3,harassment,offline,3,4
19,21,1,16,4,harassment,offline,3,4
19,21,1,17,5,harassment,offline,3,3
19,21,1,18,6,harassment,offline,3,4
19,21,1,19,1,harassment,online,3,4
19,21,1,20,2,harassment,online,3,2
19,21,1,21,3,harassment,online,2,4
19,21,1,22,4,harassment,online,4,4
19,21,1,23,5,harassment,online,2,1
19,21,1,24,6,harassment,online,3,4
20,23,1,1,1,bullying,offline,4,4
20,23,1,2,2,bullying,offline,4,4
20,23,1,3,3,bullying,offline,4,3
20,23,1,4,4,bullying,offline,3,3
20,23,1,5,5,bullying,offline,3,4
20,23,1,6,6,bullying,offline,4,3
20,23,1,7,1,bullying,online,4,5
20,23,1,8,2,bullying,online,4,5
20,23,1,9,3,bullying,online,4,5
20,23,1,10,4,bullying,online,4,5
20,23,1,11,5,bullying,online,4,5
20,23,1,12,6,bullying,online,4,5
20,23,1,13,1,harassment,offline,5,5
20,23,1,14,2,harassment,offline,5,4
20,23,1,15,3,harassment,offline,5,5
20,23,1,16,4,harassment,offline,5,5
20,23,1,17,5,harassment,offline,5,4
20,23,1,18,6,harassment,offline,5,5
20,23,1,19,1,harassment,online,5,5
20,23,1,20,2,harassment,online,4,2
20,23,1,21,3,harassment,online,3,2
20,23,1,22,4,harassment,online,4,3
20,23,1,23,5,harassment,online,4,4
20,23,1,24,6,harassment,online,4,3
21,20,1,1,1,bullying,offline,5,5
21,20,1,2,2,bullying,offline,4,4
21,20,1,3,3,bullying,offline,4,3
21,20,1,4,4,bullying,offline,5,5
21,20,1,5,5,bullying,offline,4,4
21,20,1,6,6,bullying,offline,2,2
21,20,1,7,1,bullying,online,4,4
21,20,1,8,2,bullying,online,5,4
21,20,1,9,3,bullying,online,4,2
21,20,1,10,4,bullying,online,4,4
21,20,1,11,5,bullying,online,5,4
21,20,1,12,6,bullying,online,4,2
21,20,1,13,1,harassment,offline,5,5
21,20,1,14,2,harassment,offline,5,5
21,20,1,15,3,harassment,offline,5,4
21,20,1,16,4,harassment,offline,4,4
21,20,1,17,5,harassment,offline,4,4
21,20,1,18,6,harassment,offline,5,5
21,20,1,19,1,harassment,online,5,4
21,20,1,20,2,harassment,online,5,3
21,20,1,21,3,harassment,online,5,4
21,20,1,22,4,harassment,online,3,3
21,20,1,23,5,harassment,online,4,3
21,20,1,24,6,harassment,online,5,5
22,20,1,1,1,bullying,offline,5,5
22,20,1,2,2,bullying,offline,5,4
22,20,1,3,3,bullying,offline,4,3
22,20,1,4,4,bullying,offline,5,5
22,20,1,5,5,bullying,offline,5,4
22,20,1,6,6,bullying,offline,3,3
22,20,1,7,1,bullying,online,5,5
22,20,1,8,2,bullying,online,5,5
22,20,1,9,3,bullying,online,4,5
22,20,1,10,4,bullying,online,5,5
22,20,1,11,5,bullying,online,5,5
22,20,1,12,6,bullying,online,4,5
22,20,1,13,1,harassment,offline,4,4
22,20,1,14,2,harassment,offline,5,5
22,20,1,15,3,harassment,offline,5,5
22,20,1,16,4,harassment,offline,4,4
22,20,1,17,5,harassment,offline,5,5
22,20,1,18,6,harassment,offline,5,5
22,20,1,19,1,harassment,online,4,4
22,20,1,20,2,harassment,online,4,3
22,20,1,21,3,harassment,online,5,5
22,20,1,22,4,harassment,online,4,3
22,20,1,23,5,harassment,online,4,3
22,20,1,24,6,harassment,online,5,5
23,19,1,1,1,bullying,offline,3,3
23,19,1,2,2,bullying,offline,4,4
23,19,1,3,3,bullying,offline,4,2
23,19,1,4,4,bullying,offline,3,2
23,19,1,5,5,bullying,offline,4,4
23,19,1,6,6,bullying,offline,3,3
23,19,1,7,1,bullying,online,3,3
23,19,1,8,2,bullying,online,4,4
23,19,1,9,3,bullying,online,3,3
23,19,1,10,4,bullying,online,3,3
23,19,1,11,5,bullying,online,4,4
23,19,1,12,6,bullying,online,4,4
23,19,1,13,1,harassment,offline,5,5
23,19,1,14,2,harassment,offline,5,5
23,19,1,15,3,harassment,offline,5,5
23,19,1,16,4,harassment,offline,4,4
23,19,1,17,5,harassment,offline,5,5
23,19,1,18,6,harassment,offline,5,5
23,19,1,19,1,harassment,online,5,5
23,19,1,20,2,harassment,online,5,5
23,19,1,21,3,harassment,online,4,3
23,19,1,22,4,harassment,online,3,3
23,19,1,23,5,harassment,online,4,4
23,19,1,24,6,harassment,online,5,4
24,20,1,1,1,bullying,offline,5,4
24,20,1,2,2,bullying,offline,5,4
24,20,1,3,3,bullying,offline,3,2
24,20,1,4,4,bullying,offline,5,4
24,20,1,5,5,bullying,offline,5,3
24,20,1,6,6,bullying,offline,2,1
24,20,1,7,1,bullying,online,5,4
24,20,1,8,2,bullying,online,5,5
24,20,1,9,3,bullying,online,5,4
24,20,1,10,4,bullying,online,5,4
24,20,1,11,5,bullying,online,5,4
24,20,1,12,6,bullying,online,4,4
24,20,1,13,1,harassment,offline,4,4
24,20,1,14,2,harassment,offline,5,4
24,20,1,15,3,harassment,offline,5,4
24,20,1,16,4,harassment,offline,5,4
24,20,1,17,5,harassment,offline,5,5
24,20,1,18,6,harassment,offline,5,5
24,20,1,19,1,harassment,online,5,5
24,20,1,20,2,harassment,online,5,4
24,20,1,21,3,harassment,online,5,4
24,20,1,22,4,harassment,online,5,4
24,20,1,23,5,harassment,online,5,4
24,20,1,24,6,harassment,online,5,4
25,21,1,1,1,bullying,offline,2,1
25,21,1,2,2,bullying,offline,4,2
25,21,1,3,3,bullying,offline,4,1
25,21,1,4,4,bullying,offline,1,1
25,21,1,5,5,bullying,offline,3,1
25,21,1,6,6,bullying,offline,3,1
